Date : 2025-06-15 17:04:45
Directory : d:\MyApps\TimeSelfie
Total : 64 files,  4110 codes, 476 comments, 630 blanks, all 5216 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\di\DatabaseModule.kt                         | Kotlin          |         43 |          3 |          8 |         54 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\di\UtilsModule.kt                            | Kotlin          |         43 |          1 |          7 |         51 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\ui\components\camera\CameraPreview.kt        | Kotlin          |        167 |         10 |         17 |        194 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\ui\screens\daily\DailyEntryScreen.kt         | Kotlin          |        279 |         14 |         20 |        313 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\ui\screens\daily\DailyEntryViewModel.kt      | Kotlin          |        129 |         10 |         24 |        163 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\ui\screens\export\ExportScreen.kt            | Kotlin          |        356 |         12 |         33 |        401 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\ui\screens\export\ExportViewModel.kt         | Kotlin          |        171 |          4 |         21 |        196 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\ui\screens\onboarding\OnboardingScreen.kt    | Kotlin          |        208 |         11 |         31 |        250 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\ui\screens\onboarding\OnboardingViewModel.kt | Kotlin          |         36 |         12 |          7 |         55 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\ui\screens\timeline\TimelineScreen.kt        | Kotlin          |        225 |          5 |         10 |        240 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\ui\screens\timeline\TimelineViewModel.kt     | Kotlin          |         64 |          6 |         10 |         80 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\ui\theme\Color.kt                            | Kotlin          |         41 |          7 |          9 |         57 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\ui\theme\Theme.kt                            | Kotlin          |         56 |          1 |          6 |         63 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\ui\theme\Type.kt                             | Kotlin          |         15 |         17 |          2 |         34 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\utils\camera\CameraManager.kt                | Kotlin          |         82 |         13 |         22 |        117 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\utils\date\DateUtils.kt                      | Kotlin          |         45 |         21 |         12 |         78 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\utils\export\CollageGenerator.kt             | Kotlin          |        165 |         36 |         39 |        240 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\utils\export\ExportManager.kt                | Kotlin          |        138 |         33 |         28 |        199 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\utils\image\ImageProcessor.kt                | Kotlin          |        104 |         26 |         27 |        157 |
| d:\MyApps\TimeSelfie\app\src\main\java\com\example\timeselfie\utils\storage\ImageStorage.kt                | Kotlin          |        140 |         43 |         33 |        216 |
| d:\MyApps\TimeSelfie\app\src\main\res\drawable\ic_launcher_background.xml                                  | XML             |        170 |          0 |          1 |        171 |
| d:\MyApps\TimeSelfie\app\src\main\res\drawable\ic_launcher_foreground.xml                                  | XML             |         30 |          0 |          0 |         30 |
| d:\MyApps\TimeSelfie\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml                                    | XML             |          6 |          0 |          0 |          6 |
| d:\MyApps\TimeSelfie\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml                              | XML             |          6 |          0 |          0 |          6 |
| d:\MyApps\TimeSelfie\app\src\main\res\values\colors.xml                                                    | XML             |         10 |          0 |          0 |         10 |
| d:\MyApps\TimeSelfie\app\src\main\res\values\strings.xml                                                   | XML             |          3 |          0 |          0 |          3 |
| d:\MyApps\TimeSelfie\app\src\main\res\values\themes.xml                                                    | XML             |          4 |          0 |          1 |          5 |
| d:\MyApps\TimeSelfie\app\src\main\res\xml\backup_rules.xml                                                 | XML             |          9 |          4 |          0 |         13 |
| d:\MyApps\TimeSelfie\app\src\main\res\xml\data_extraction_rules.xml                                        | XML             |          9 |         10 |          0 |         19 |
| d:\MyApps\TimeSelfie\app\src\main\res\xml\file_paths.xml                                                   | XML             |          6 |          0 |          1 |          7 |
| d:\MyApps\TimeSelfie\app\src\test\java\com\example\timeselfie\ExampleUnitTest.kt                           | Kotlin          |          9 |          5 |          3 |         17 |
| d:\MyApps\TimeSelfie\build.gradle.kts                                                                      | Kotlinscript    |          7 |          1 |          0 |          8 |
| d:\MyApps\TimeSelfie\docs\CONTEXT.md                                                                       | Markdown        |        488 |          0 |         89 |        577 |
| d:\MyApps\TimeSelfie\gradle.properties                                                                     | Java Properties |          4 |         19 |          0 |         23 |
| d:\MyApps\TimeSelfie\gradle\wrapper\gradle-wrapper.properties                                              | Java Properties |          5 |          1 |          1 |          7 |
| d:\MyApps\TimeSelfie\gradlew.bat                                                                           | Batch           |         39 |         29 |         22 |         90 |
| d:\MyApps\TimeSelfie\settings.gradle.kts                                                                   | Kotlinscript    |         22 |          0 |          2 |         24 |
| Total                                                                                                      |                 |      4,110 |        476 |        630 |      5,216 |
+------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
